time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-11-01T05:12:52.070Z,33.5785,-116.5886667,13.91,0.63,ml,24,73,0.02056,0.15,ci,ci37410258,2018-11-01T05:16:28.446Z,"8km ENE of Anza, CA",earthquake,0.24,0.38,0.197,20,automatic,ci,ci
2018-11-01T05:07:52.154Z,38.3008,-115.7509,3.8,1.1,ml,11,185.96,0.139,0.251,nn,nn00663688,2018-11-01T05:38:06.379Z,"54km SSW of Currant, Nevada",earthquake,,5,0.22,7,reviewed,nn,nn
2018-11-01T05:05:28.430Z,33.9946667,-116.965,15.44,1.05,ml,38,51,0.1367,0.21,ci,ci37410242,2018-11-01T05:09:09.404Z,"7km N of Beaumont, CA",earthquake,0.29,1,0.192,27,automatic,ci,ci
2018-11-01T05:05:16.220Z,35.2663,-97.7066,5,1.3,mb_lg,,72,0.084,1,us,us2000i567,2018-11-01T09:14:58.040Z,"9km WNW of Newcastle, Oklahoma",earthquake,1.3,1.5,0.295,3,reviewed,us,us
2018-11-01T05:03:21.770Z,33.4965,-116.7985,2.92,1.04,ml,52,33,0.0159,0.21,ci,ci37410234,2018-11-01T05:07:03.396Z,"9km NE of Aguanga, CA",earthquake,0.18,0.58,0.115,25,automatic,ci,ci
2018-11-01T05:02:00.916Z,60.0593,-141.2182,9.8,1.5,ml,,,,0.9,ak,ak20308121,2018-11-01T05:04:40.402Z,"67km E of Cape Yakataga, Alaska",earthquake,,0.8,,,automatic,ak,ak
2018-11-01T04:58:51.240Z,37.2943344,-122.2051697,4.88,2.08,md,9,114,0.04804,0.12,nc,nc73104656,2018-11-01T06:43:02.291Z,"10km SSE of Portola Valley, CA",earthquake,0.45,1.3,0.19,9,automatic,nc,nc
2018-11-01T04:38:38.120Z,38.7270012,-122.8460007,5.97,1.17,md,8,224,0.03735,0.03,nc,nc73104641,2018-11-01T06:28:04.197Z,"10km SW of The Geysers, CA",earthquake,2.39,2.41,0.09,3,automatic,nc,nc
2018-11-01T04:31:37.660Z,33.503,-116.7946667,2.2,0.32,ml,16,74,0.01048,0.15,ci,ci37410218,2018-11-01T04:35:09.242Z,"9km NE of Aguanga, CA",earthquake,0.28,0.31,0.114,8,automatic,ci,ci
2018-11-01T04:30:19.450Z,34.028,-106.3334,7.85,3.4,ml,,36,0.272,0.74,us,us2000i53p,2018-11-01T04:50:18.040Z,"51km E of Socorro, New Mexico",earthquake,4.9,6.6,0.148,6,reviewed,us,us
2018-11-01T04:29:47.040Z,33.4931667,-116.7993333,2.71,1.34,ml,56,33,0.01917,0.2,ci,ci37410210,2018-11-01T04:40:31.630Z,"8km NE of Aguanga, CA",earthquake,0.18,0.43,0.138,28,automatic,ci,ci
2018-11-01T04:27:40.880Z,40.1777,-14.7949,10,5,mb,,95,4.888,0.99,us,us2000i53n,2018-11-01T09:14:07.545Z,North Atlantic Ocean,earthquake,8.3,1.9,0.045,155,reviewed,us,us
2018-11-01T04:22:20.520Z,49.3047,-129.368,10,4.9,mb,,152,1.556,1.41,us,us2000i53f,2018-11-01T09:31:21.875Z,"208km SW of Port Hardy, Canada",earthquake,7.5,1.9,0.028,406,reviewed,us,us
2018-11-01T04:21:11.470Z,18.0108,-67.1063,18,2.32,md,6,151,0.0055,0.1,pr,pr2018305002,2018-11-01T08:15:10.370Z,"4km SW of Palmarejo, Puerto Rico",earthquake,1.15,0.62,0.24,6,reviewed,pr,pr
2018-11-01T04:08:19.350Z,33.5098333,-116.7958333,3.86,0.9,ml,40,36,0.004543,0.19,ci,ci37410194,2018-11-01T04:12:07.941Z,"10km NE of Aguanga, CA",earthquake,0.19,0.48,0.116,26,automatic,ci,ci
2018-11-01T04:00:07.930Z,37.3627,-117.1392,0.2,0.7,ml,15,187.48,0.399,0.89,nn,nn00663658,2018-11-01T04:01:58.722Z,"39km SSE of Goldfield, Nevada",earthquake,,45.3,,,automatic,nn,nn
2018-11-01T03:58:48.690Z,63.1904,-150.4191,111,1.8,ml,,,,0.38,ak,ak20307960,2018-11-01T04:04:30.650Z,"76km WSW of Cantwell, Alaska",earthquake,,0.9,,,automatic,ak,ak
2018-11-01T03:31:03.025Z,63.286,-151.0994,3,2,ml,,,,0.82,ak,ak20307821,2018-11-01T03:36:14.316Z,"108km W of Cantwell, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-11-01T03:02:22.608Z,36.73,-116.1753,3.6,-0.4,ml,7,109.01,0.03,0.1331,nn,nn00663650,2018-11-01T03:59:56.145Z,"55km ESE of Beatty, Nevada",earthquake,,3.1,0.09,2,reviewed,nn,nn
2018-11-01T02:56:21.950Z,38.8354988,-122.8261642,1.51,1.22,md,16,72,0.007908,0.03,nc,nc73104591,2018-11-01T05:42:02.901Z,"9km NW of The Geysers, CA",earthquake,0.25,0.58,0.01,3,automatic,nc,nc
2018-11-01T02:47:17.400Z,47.39633333,-121.8091667,17.82,0.75,ml,4,173,,0.15,uw,uw61501872,2018-11-01T05:52:41.000Z,"8km SSW of Riverbend, Washington",earthquake,2.5,0.93,0.179780886,3,reviewed,uw,uw
2018-11-01T02:44:49.150Z,37.4141,20.5509,10,4.9,mwr,,134,2.37,1.1,us,us2000i529,2018-11-01T02:57:49.040Z,"41km SW of Lithakia, Greece",earthquake,7.1,2,0.078,16,reviewed,us,us
2018-11-01T02:33:32.415Z,61.174,-139.9012,0.5,1.4,ml,,,,0.47,ak,ak20307681,2018-11-01T02:38:03.331Z,"137km WNW of Haines Junction, Canada",earthquake,,0.4,,,automatic,ak,ak
2018-11-01T02:24:58.870Z,33.498,-116.7798333,9.13,0.11,ml,12,83,0.07603,0.23,ci,ci37410170,2018-11-01T02:28:48.456Z,"10km NE of Aguanga, CA",earthquake,0.55,1.28,0.02,5,automatic,ci,ci
2018-11-01T02:23:06.630Z,18.0143,-67.0996,10,1.67,md,3,134,0.0127,0.48,pr,pr2018305001,2018-11-01T04:01:10.848Z,"3km SW of Palmarejo, Puerto Rico",earthquake,4.11,3.29,0.01,2,reviewed,pr,pr
2018-11-01T02:21:15.130Z,46.53516667,-121.4155,2.9,1.15,ml,12,127,,0.18,uw,uw61501867,2018-11-01T05:48:09.790Z,"21km ESE of Packwood, Washington",earthquake,0.56,0.99,0.167289069,6,reviewed,uw,uw
2018-11-01T02:17:12.604Z,62.9782,-149.5243,59,2.1,ml,,,,0.54,ak,ak20307675,2018-11-01T02:22:07.254Z,"54km SSW of Cantwell, Alaska",earthquake,,0.7,,,automatic,ak,ak
2018-11-01T02:04:34.040Z,36.9589996,-121.5719986,5.33,1.25,md,11,83,0.008856,0.09,nc,nc73104576,2018-11-01T02:19:03.028Z,"5km S of Gilroy, CA",earthquake,0.38,0.68,0.19,10,automatic,nc,nc
2018-11-01T01:57:19.190Z,32.928,-116.3196667,5,1.42,ml,44,68,0.0935,0.26,ci,ci37410162,2018-11-01T02:08:44.190Z,"23km ENE of Pine Valley, CA",earthquake,0.33,1.2,0.147,26,automatic,ci,ci
2018-11-01T01:55:51.542Z,61.8481,-157.7095,9,1.6,ml,,,,1.06,ak,ak20307672,2018-11-01T01:59:39.026Z,"114km ESE of Holy Cross, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-11-01T01:55:27.385Z,61.0099,-148.1781,12,2.1,ml,,,,0.6,ak,ak20307670,2018-11-01T01:59:38.796Z,"38km NE of Whittier, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-11-01T01:54:08.930Z,32.9311667,-116.3105,3.96,0.82,ml,19,62,0.1018,0.22,ci,ci37410154,2018-11-01T01:57:55.490Z,"24km ENE of Pine Valley, CA",earthquake,0.38,1.28,0.099,14,automatic,ci,ci
2018-11-01T01:51:22.610Z,36.3855,-117.8163333,1.04,1.88,ml,26,78,0.1649,0.12,ci,ci37410146,2018-11-01T02:02:36.090Z,"20km NE of Olancha, CA",earthquake,0.24,0.75,0.14,25,automatic,ci,ci
2018-11-01T01:34:10.060Z,33.5396667,-116.4496667,4.92,0.89,ml,41,40,0.02577,0.21,ci,ci37410130,2018-11-01T01:38:39.601Z,"19km SW of La Quinta, CA",earthquake,0.25,0.63,0.132,28,automatic,ci,ci
2018-11-01T01:19:07.120Z,38.8363342,-122.8246689,1.86,0.93,md,14,68,0.008744,0.04,nc,nc73104561,2018-11-01T01:49:02.213Z,"9km NW of The Geysers, CA",earthquake,0.32,0.49,0.09,3,automatic,nc,nc
2018-11-01T01:15:53.202Z,61.6101,-149.8648,33.5,1.1,ml,,,,0.39,ak,ak20307529,2018-11-01T01:18:44.451Z,"3km SW of Houston, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-11-01T01:07:52.060Z,38.8395004,-122.8261642,1.06,1.05,md,10,94,0.007337,0.04,nc,nc73104556,2018-11-01T01:09:29.188Z,"9km WNW of Cobb, CA",earthquake,0.34,0.5,,1,automatic,nc,nc
2018-11-01T01:07:20.340Z,33.501,-116.7771667,5.7,0.18,ml,12,81,0.07235,0.21,ci,ci37410114,2018-11-01T01:10:48.440Z,"10km NE of Aguanga, CA",earthquake,0.49,1.64,0.174,4,automatic,ci,ci
2018-11-01T01:06:31.520Z,38.8364983,-122.8258362,1.6,0.91,md,13,79,0.007821,0.04,nc,nc73104551,2018-11-01T01:08:09.379Z,"9km NW of The Geysers, CA",earthquake,0.32,0.56,0.14,3,automatic,nc,nc
